sample_id	source_file	replay_time_s	missile_type	speed_kmh	mach	displayed_distance_km	displayed_flown_distance_km	missile_flight_time_s	overload_g	angle_of_attack_deg	seeker_state
S001	NA	5.184	PL-12	2549	2.25	3.2	1.2	2.4	11.8	7.6	TRK
S002	NA	5.479	PL-12	2655	2.34	3.4	1.6	2.9	8.9	6.3	TRK
S003	NA	6.083	PL-12	2756	2.43	3.8	2.0	3.4	5.9	4.1	TRK
S004	NA	6.680	PL-12	2851	2.51	4.1	2.4	3.9	3.6	2.5	TRK
S005	NA	6.983	PL-12	2950	2.60	4.4	2.7	4.4	1.4	1.2	TRK
S006	NA	7.584	PL-12	3044	2.68	4.7	3.1	4.9	0.1	0.5	TRK
S007	NA	8.184	PL-12	3148	2.77	5.1	3.6	5.4	1.2	0.9	TRK
S008	NA	8.481	PL-12	3242	2.86	5.5	4.0	5.8	2.8	1.5	TRK
S009	NA	9.081	PL-12	3331	2.94	5.8	4.4	6.3	4.0	1.9	TRK
S010	NA	9.384	PL-12	3411	3.01	6.2	4.7	6.6	4.2	1.8	TRK
S011	NA	9.682	PL-12	3502	3.09	6.6	5.1	7.1	4.2	1.7	TRK
S012	NA	10.284	PL-12	3586	3.16	7.0	5.6	7.5	3.6	1.4	TRK
