sample_id	source_file	replay_time_s	missile_type	speed_kmh	mach	displayed_distance_km	displayed_flown_distance_km	missile_flight_time_s	overload_g	angle_of_attack_deg	seeker_state
S001	20260824121830_1.jpg	2.938	R-77-1	1237	1.09	2.2	0.1	0.2	4.4	11.3	IOG+DL
S002	20260824121831_1.jpg	3.162	R-77-1	1317	1.16	2.3	0.1	0.4	1.2	4.3	IOG+DL
S003	20260824121831_2.jpg	3.312	R-77-1	1401	1.24	2.4	0.2	0.5	3.4	7.9	IOG+DL
S004	20260824121832_1.jpg	3.536	R-77-1	1475	1.30	2.5	0.3	0.7	10.4	19.4	惯导
S005	20260824121833_1.jpg	3.687	R-77-1	1529	1.35	2.5	0.3	0.9	13.4	23.2	TRK
S006	20260824121834_1.jpg	3.837	R-77-1	1579	1.39	2.6	0.4	1.1	13.2	21.7	TRK
S007	20260824121834_2.jpg	4.062	R-77-1	1622	1.43	2.7	0.5	1.3	14.5	22.8	TRK
S008	20260824121835_1.jpg	4.212	R-77-1	1662	1.46	2.8	0.6	1.5	15.8	23.7	TRK
S009	20260824121836_1.jpg	4.437	R-77-1	1706	1.50	2.8	0.7	1.6	16.6	23.7	TRK
S010	20260824121837_1.jpg	4.663	R-77-1	1759	1.55	2.9	0.8	1.9	17.4	23.5	TRK
S011	20260824121837_2.jpg	4.813	R-77-1	1802	1.59	3.0	0.9	2.1	17.8	22.9	TRK
S012	20260824121838_1.jpg	5.037	R-77-1	1858	1.64	3.1	1.0	2.3	17.1	20.6	TRK
S013	20260824121839_1.jpg	5.261	R-77-1	1927	1.70	3.2	1.1	2.5	16.2	18.4	TRK
S014	20260824121840_1.jpg	5.487	R-77-1	1997	1.76	3.3	1.2	2.7	15.4	16.3	TRK
S015	20260824121841_1.jpg	5.637	R-77-1	2064	1.82	3.4	1.3	2.9	14.6	14.5	TRK
S016	20260824121841_2.jpg	5.862	R-77-1	2127	1.87	3.5	1.4	3.1	13.7	12.9	TRK
S017	20260824121842_1.jpg	6.012	R-77-1	2185	1.92	3.5	1.5	3.2	13.0	11.7	TRK
S018	20260824121843_1.jpg	6.162	R-77-1	2245	1.98	3.6	1.6	3.4	12.3	10.5	TRK
S019	20260824121843_2.jpg	6.312	R-77-1	2317	2.04	3.7	1.7	3.5	11.1	9.0	TRK
S020	20260824121844_1.jpg	6.462	R-77-1	2391	2.11	3.7	1.8	3.7	9.8	7.6	TRK
S021	20260824121844_2.jpg	6.612	R-77-1	2457	2.16	3.8	1.9	3.8	9.0	6.6	TRK
S022	20260824121845_1.jpg	6.762	R-77-1	2535	2.23	3.9	2.0	4.0	7.7	5.4	TRK
S023	20260824121846_1.jpg	6.912	R-77-1	2605	2.29	4.0	2.1	4.1	6.7	4.5	TRK
S024	20260824121846_2.jpg	7.062	R-77-1	2686	2.36	4.0	2.3	4.3	5.6	3.6	TRK
S025	20260824121847_1.jpg	7.212	R-77-1	2758	2.43	4.1	2.4	4.5	4.2	2.7	TRK
S026	20260824121848_1.jpg	7.362	R-77-1	2841	2.50	4.2	2.5	4.6	2.9	1.9	TRK
S027	20260824121848_2.jpg	7.512	R-77-1	2915	2.57	4.3	2.6	4.8	2.2	1.5	TRK
S028	20260824121849_1.jpg	7.663	R-77-1	2979	2.62	4.4	2.7	4.9	2.0	1.3	TRK
S029	20260824121849_2.jpg	7.811	R-77-1	3065	2.70	4.5	2.9	5.1	2.6	1.5	TRK
S030	20260824121850_1.jpg	7.961	R-77-1	3140	2.77	4.6	3.0	5.2	3.0	1.6	TRK
S031	20260824121850_2.jpg	8.111	R-77-1	3204	2.82	4.6	3.1	5.3	4.8	2.2	TRK
S032	20260824121851_1.jpg	8.261	R-77-1	3291	2.90	4.8	3.2	5.5	5.6	2.3	TRK
S033	20260824121852_1.jpg	8.411	R-77-1	3366	2.96	4.9	3.4	5.6	8.5	3.2	TRK
S034	20260824121852_2.jpg	8.562	R-77-1	3441	3.03	5.0	3.5	5.8	8.7	3.1	TRK
S035	20260824121853_1.jpg	8.712	R-77-1	3527	3.11	5.1	3.7	6.0	11.9	3.9	TRK
S036	20260824121854_1.jpg	8.937	R-77-1	3623	3.19	5.3	3.9	6.1	12.1	3.7	TRK
S037	20260824121854_2.jpg	9.087	R-77-1	3708	3.27	5.4	4.0	6.3	14.3	4.1	TRK
S038	20260824121855_1.jpg	9.237	R-77-1	3794	3.34	5.6	4.2	6.5	15.7	4.3	TRK
S039	20260824121856_1.jpg	9.386	R-77-1	3878	3.42	5.7	4.4	6.6	16.1	4.2	TRK
S040	20260824121856_2.jpg	9.536	R-77-1	3943	3.47	5.8	4.5	6.8	16.1	4.0	TRK
S041	20260824121857_1.jpg	9.686	R-77-1	4032	3.55	6.0	4.7	6.9	17.1	4.0	TRK
S042	20260824121858_1.jpg	9.912	R-77-1	4036	3.56	6.2	4.9	7.1	16.5	4.2	TRK
S043	20260824121858_2.jpg	10.061	R-77-1	4000	3.53	6.4	5.1	7.3	7.1	2.0	TRK
S044	20260824121859_1.jpg	10.211	R-77-1	3968	3.50	6.6	5.3	7.5	5.7	1.7	TRK
S045	20260824121900_1.jpg	10.437	R-77-1	3928	3.46	6.8	5.5	7.7	3.6	1.2	TRK
S046	20260824121900_2.jpg	10.587	R-77-1	3895	3.43	7.0	5.7	7.8	-0.3	0.2	TRK
