time_s,mass_kg,mach,dynamic_pressure_pa,indicated_speed_kmh,base_indicated_speed_q_ratio,fin_force_speed_scale,fin_authority_scale,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s,angle_of_attack_rad,pitch_alpha_rad,yaw_alpha_rad,pitch_fin_command,yaw_fin_command,pitch_requested_fin_command,yaw_requested_fin_command,pitch_requested_fin_angle_rad,yaw_requested_fin_angle_rad,actual_pitch_fin_angle_rad,actual_yaw_fin_angle_rad,pitch_natural_frequency_rad_s,yaw_natural_frequency_rad_s,pitch_residual_rate_damping_per_s,yaw_residual_rate_damping_per_s,pitch_tail_rate_damping_per_s,yaw_tail_rate_damping_per_s,pitch_fin_moment_equivalent_g,yaw_fin_moment_equivalent_g,pitch_tail_moment_nm,yaw_tail_moment_nm,pitch_residual_damping_moment_nm,yaw_residual_damping_moment_nm,pitch_total_moment_nm,yaw_total_moment_nm,pitch_tail_authority_fraction,yaw_tail_authority_fraction,pitch_tail_rate_incidence_rad,yaw_tail_rate_incidence_rad,pitch_tail_effective_incidence_rad,yaw_tail_effective_incidence_rad,trajectory_lateral_load_g,trajectory_pitch_normal_acceleration_g,trajectory_yaw_normal_acceleration_g,axial_specific_force_g,thrust_n,drag_n,total_cda_m2,cda_alpha_m2,fin_drag_n,pitch_pid_output,yaw_pid_output,pitch_pid_integral,yaw_pid_integral,pid_feedback_pitch_g,pid_feedback_yaw_g,midcourse_weight,pcc_capture_mode,pcc_capture_ratio,pcc_envelope_g,pcc_routed_alpha_deg,heading_error_deg,j_psi_actual_deg,distance_to_target_m,closing_speed_mps,commanded_accel_body_pitch_g,commanded_accel_body_yaw_g,altitude_m,speed_mps,speed_kmh,inertia_kg_m2,pitch_angular_accel_rad_s2,yaw_angular_accel_rad_s2,omega_total_rad_s,delta_total_rad,trim_deficit_rad,predicted_deficit_rad,zeta_implied
0,190,1.057571035,35444.51194,866.0120826,0.2314743603,0.2314743603,1,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,4.833112668,4.833112668,9.666225335,9.666225335,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,12.53736593,24350,989.5836722,0.02791923539,0,0,0,0,0,0,0,0,1,capture,5.548551577,10.21003408,23.7,30,0,8000,622.0084679,0,10.21003408,6300,333.3333333,1200,217.9315833,0,0,0,0,0,0,nan
0.02,189.7971429,1.065372058,35969.35312,872.4002167,0.2349018945,0.2349018945,1,-8.733602333e-07,0.0003642145095,-0.00012918296,0.03533924796,0.0006848167977,0.0005810637557,0.0003624071719,0,0.1795278911,0,0.8976394554,0,0.4136430327,0,0.08272860654,4.8687641,4.8687641,9.737528201,9.737528201,0,0,-0.009205960376,1.304951411,-2.998592815,425.0526576,0.2738483971,-74.9138773,-2.724744418,350.1387803,-0.001260956216,0.1787414377,-6.732444297e-08,1.841725244e-05,-0.0005810637557,0.08236619937,0.01728759308,0.01466844027,0.009148646598,12.53472926,24350,1019.426737,0.02834153658,1.325992877e-07,0,0.0102,3.469446952e-18,0.0001,-0.1031213443,0.007384961823,0.004605971083,1,capture,5.554555852,10.28905152,23.69999844,30.04773483,0.0001035528139,7987.539236,624.0677223,0.01036089981,10.28904563,6299.998043,335.7921283,1208.851662,217.6989045,-0.01251611451,1.60836262,0.03533948408,0.08272860654,0.08204378975,0.0145168192,5.651636811
0.04,189.5942857,1.073171642,36497.9734,878.7874097,0.2383541085,0.2383541085,1,-6.305962751e-06,0.001668616271,-0.0004494717002,0.09326427493,0.002011028877,0.001144845749,0.001653349738,0.0001807815316,0.3231501011,0.000903907658,0.8976389412,0.0004165314957,0.4136427958,8.330629914e-05,0.1489114444,4.904410282,4.904410282,9.808820563,9.808820563,0,0,-0.01706544336,2.36733988,-5.552665908,770.2728355,0.9587623243,-198.9408298,-4.593903584,571.3320057,-0.002303628052,0.319562196,-2.32542304e-07,4.825195748e-05,-0.00106153945,0.1472580946,0.05115413869,0.02912118637,0.04205594381,12.53175401,24350,1049.850997,0.02876463812,1.143481114e-06,0,0.009130354567,0.08272860654,0.0002002975938,-0.008892193084,0.01477426473,0.02133653714,1,capture,5.56020324,10.36860951,23.69996752,30.09498747,0.0008747074959,7975.037294,626.1265964,0.02063477788,10.36857477,6299.992193,338.2504869,1217.701753,217.4662257,-0.02112467612,2.627221786,0.093265358,0.1489114677,0.1469004388,0.03803326094,3.862420292
0.06,189.3914286,1.080969535,37030.35415,885.1734595,0.2418308807,0.2418308807,1,-1.945053597e-05,0.004265947027,-0.0008955957399,0.16413446,0.004535197039,0.001688537838,0.004209139123,0.0005019072844,0.4380473704,0.001786410296,0.8976364476,0.0008231993011,0.4136416467,0.0002312848995,0.2018574848,4.940050083,4.940050083,9.880100165,9.880100165,0,0,-0.02376870346,3.223767676,-7.72546335,1047.810583,1.922207466,-352.2800192,-5.803255884,695.5305638,-0.00316235892,0.4289131918,-4.600100456e-07,8.430533673e-05,-0.001457252939,0.1976483457,0.1162403732,0.04327793648,0.1078834768,12.52831639,24350,1080.964519,0.02919130924,5.815468438e-06,0,0.008536503702,0.1489114444,0.0003008836451,0.06409689036,0.02212353596,0.05514932538,1,capture,5.565342117,10.44870548,23.69978956,30.14081806,0.003254848812,7962.494156,628.1878553,0.03082670961,10.44856723,6299.982478,340.7083302,1226.549989,217.2335468,-0.02671436327,3.201764064,0.1641369034,0.2018576173,0.1973224203,0.06645151391,2.969419486
0.08,189.1885714,1.088765363,37566.46784,891.5580639,0.2453320313,0.2453320313,1,-4.2310114e-05,0.008341432746,-0.001417537069,0.2407812209,0.008487820166,0.002210535976,0.008194914391,0.0009311851403,0.529963412,0.002648296564,0.8976275783,0.001220366836,0.4136375596,0.0004291012869,0.2442134998,4.975681816,4.975681816,9.951363633,9.951363633,0,0,-0.02947697783,3.905343626,-9.570542956,1267.981377,3.061106869,-519.9561021,-6.509436087,748.0252745,-0.003865860024,0.5121797727,-7.22884316e-07,0.0001227883009,-0.001781434689,0.2360185854,0.219205028,0.0570859003,0.2116413104,12.52413975,24350,1113.009951,0.0296277509,2.036970414e-05,0,0.008228480723,0.2018574848,0.0004017539625,0.1211161808,0.02940165149,0.1090013503,1,capture,5.569786175,10.52933562,23.69920254,30.18407577,0.00839485965,7949.909741,630.2549505,0.04094470972,10.52890172,6299.968926,343.1655407,1235.395946,217.000868,-0.02999728133,3.447107292,0.2407853936,0.2442138768,0.2357260566,0.09678488394,2.435566868
0.1,188.9857143,1.096558528,38106.27051,897.9407358,0.2488572731,0.2488572731,1,-7.601122342e-05,0.01395691197,-0.0019774617,0.3179877928,0.0139173618,0.002710168117,0.01365093214,0.001443065985,0.6034912225,0.003490589363,0.8976024645,0.001608505466,0.4136259869,0.0006649821226,0.2780959972,5.011302766,5.011302766,10.02260553,10.02260553,0,0,-0.0343274816,4.438585602,-11.13344694,1439.568386,4.296197796,-690.8545713,-6.837249145,748.7138149,-0.004438222082,0.5738675752,-1.001255324e-06,0.0001610079075,-0.002045185994,0.2644450651,0.3621582433,0.07051299907,0.3552274062,12.51877583,24350,1146.384846,0.0300838899,5.476539411e-05,0,0.008092344164,0.2442134998,0.0005029082682,0.1659839362,0.0365879557,0.1843072846,1,capture,5.573335293,10.61049383,23.69778765,30.22352247,0.01753126625,7937.283894,632.3316396,0.05099972856,10.60938078,6299.951564,345.62193,1244.238948,216.7681892,-0.03154175514,3.453983805,0.3179939413,0.2780967923,0.2641794305,0.1269106882,2.081616878
0.12,188.7828571,1.104348715,38649.73688,904.3212204,0.2524064413,0.2524064413,1,-0.0001210211774,0.02108556773,-0.002547223029,0.3920678686,0.02077483999,0.003187476002,0.02052885709,0.002017360194,0.6623020364,0.004314537032,0.8975452923,0.001988190439,0.4135996412,0.0009296237859,0.305196726,5.046911508,5.046911508,10.09382302,10.09382302,0,0,-0.03843746532,4.846159222,-12.45305827,1570.069792,5.567391805,-856.9314167,-6.885666464,713.1383751,-0.004899725303,0.6177527255,-1.280646291e-06,0.0001971167252,-0.002257852216,0.2846678689,0.5447008491,0.08354249472,0.5382561347,12.51578919,24350,1173.922059,0.0303733519,0.000122030322,0,0.008059767263,0.2780959972,0.0006043494452,0.2015134896,0.04365676626,0.2812272234,1,capture,5.575790507,10.69217661,23.6949975,30.25792184,0.03189692583,7924.616385,634.42186,0.06100540628,10.68974567,6299.930419,348.077399,1253.078636,216.5355103,-0.03179924832,3.293401502,0.3920761431,0.3051981418,0.2844233018,0.1553727037,1.830587324
0.14,188.58,1.112138322,39197.03239,910.7014855,0.2559806159,0.2559806159,1,-0.0001773200382,0.0296390617,-0.003106336518,0.4605256765,0.02895011637,0.003643034993,0.02871998492,0.002638204564,0.7093287034,0.00512158204,0.8974353711,0.002360086463,0.4135489882,0.001215716321,0.3268671785,5.082519025,5.082519025,10.16503805,10.16503805,0,0,-0.04190758856,5.147502907,-13.56272722,1665.907779,6.829984458,-1012.570014,-6.732742763,653.3377647,-0.005267481471,0.6470039702,-1.550807912e-06,0.0002299129082,-0.002427318672,0.2981471935,0.7647868904,0.09616904918,0.7587163513,12.51378668,24350,1197.574974,0.03055269497,0.0002369698041,0,0.00808992674,0.305196726,0.0007060843085,0.2298072103,0.05059914946,0.3990594913,1,capture,5.576964087,10.77440712,23.69021044,30.28610153,0.05265864741,7911.906898,636.5301949,0.07097778535,10.76972274,6299.905517,350.532704,1261.917734,216.3028315,-0.03112646615,3.020477171,0.4605361528,0.3268694393,0.2979193229,0.1812235824,1.643932422
0.16,188.3771429,1.119926046,39748.06445,917.0804675,0.2595791926,0.2595791926,1,-0.0002445360252,0.03948854532,-0.003640331918,0.5217818734,0.03829470958,0.004077805113,0.03807697845,0.003293226601,0.7469128006,0.005913314753,0.8972491893,0.002724926398,0.4134631934,0.001517558337,0.3441863815,5.118119382,5.118119382,10.23623876,10.23623876,0,0,-0.04482398874,5.359266364,-14.4909691,1732.575914,8.051488365,-1154.0488,-6.439480731,578.5271135,-0.005555946409,0.6642826207,-1.804761369e-06,0.0002586829414,-0.002560246776,0.306109403,1.019265034,0.1083951812,1.013484926,12.50880044,24350,1224.031787,0.03079475199,0.0004146388036,0,0.00815830062,0.3268671785,0.0008081221705,0.2524555978,0.05742294453,0.5365720368,1,capture,5.57668685,10.85717247,23.68279482,30.30699559,0.08087564632,7899.155034,638.6599815,0.08093443632,10.84898875,6299.876882,352.9874345,1270.754764,216.0701527,-0.02980273143,2.677496666,0.5217945721,0.344189727,0.3058950174,0.2039008992,1.500214166
0.18,188.1742857,1.127709807,40302.68224,923.4564655,0.2632011863,0.2632011863,1,-0.0003220514368,0.05048073587,-0.004139415331,0.5749534652,0.04863835772,0.00449300767,0.0484303905,0.003972866061,0.7769228102,0.006691423897,0.8969628488,0.003083488429,0.4133312443,0.001830744355,0.358015354,5.153703084,5.153703084,10.30740617,10.30740617,0,0,-0.04726042745,5.495744025,-15.26218262,1774.783968,9.20905874,-1279.113066,-6.053123879,495.670902,-0.005777330702,0.6718248733,-2.038025483e-06,0.0002830761641,-0.002662263315,0.3095849635,1.304281858,0.1202291946,1.29872865,12.50014125,24350,1253.951518,0.03111335148,0.0006688830446,0,0.008250097369,0.3441863815,0.0009104733167,0.2706750115,0.06413079337,0.6920618924,1,capture,5.574812397,10.9404516,23.67217035,30.31966984,0.11747395,7886.360336,640.8140105,0.09089401042,10.92722679,6299.844538,355.4409349,1279.587365,215.8374738,-0.0280448236,2.296500664,0.574968366,0.3580200348,0.3093816771,0.2231282465,1.386564373
