time_s,mass_kg,mach,dynamic_pressure_pa,indicated_speed_kmh,base_indicated_speed_q_ratio,fin_force_speed_scale,fin_authority_scale,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s,angle_of_attack_rad,pitch_alpha_rad,yaw_alpha_rad,pitch_fin_command,yaw_fin_command,pitch_requested_fin_command,yaw_requested_fin_command,pitch_requested_fin_angle_rad,yaw_requested_fin_angle_rad,actual_pitch_fin_angle_rad,actual_yaw_fin_angle_rad,pitch_natural_frequency_rad_s,yaw_natural_frequency_rad_s,pitch_residual_rate_damping_per_s,yaw_residual_rate_damping_per_s,pitch_tail_rate_damping_per_s,yaw_tail_rate_damping_per_s,pitch_fin_moment_equivalent_g,yaw_fin_moment_equivalent_g,pitch_tail_moment_nm,yaw_tail_moment_nm,pitch_residual_damping_moment_nm,yaw_residual_damping_moment_nm,pitch_total_moment_nm,yaw_total_moment_nm,pitch_tail_authority_fraction,yaw_tail_authority_fraction,pitch_tail_rate_incidence_rad,yaw_tail_rate_incidence_rad,pitch_tail_effective_incidence_rad,yaw_tail_effective_incidence_rad,trajectory_lateral_load_g,trajectory_pitch_normal_acceleration_g,trajectory_yaw_normal_acceleration_g,axial_specific_force_g,thrust_n,drag_n,total_cda_m2,cda_alpha_m2,fin_drag_n,pitch_pid_output,yaw_pid_output,pitch_pid_integral,yaw_pid_integral,pid_feedback_pitch_g,pid_feedback_yaw_g,midcourse_weight,pcc_capture_mode,pcc_capture_ratio,pcc_envelope_g,pcc_routed_alpha_deg,heading_error_deg,j_psi_actual_deg,distance_to_target_m,closing_speed_mps,commanded_accel_body_pitch_g,commanded_accel_body_yaw_g,altitude_m,speed_mps,speed_kmh,inertia_kg_m2,pitch_angular_accel_rad_s2,yaw_angular_accel_rad_s2,omega_total_rad_s,delta_total_rad,trim_deficit_rad,predicted_deficit_rad,zeta_implied
0,190,1.057571035,35444.51194,866.0120826,0.2314743603,0.2314743603,1,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,4.833112668,4.833112668,4.833112668,4.833112668,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,12.53736593,24350,989.5836722,0.02791923539,0,0,0,0,0,0,0,0,1,capture,4.998916256,11.33263648,26.4,30,0,8000,622.0084679,0,11.33263648,6300,333.3333333,1200,217.9315833,0,0,0,0,0,0,nan
0.002,189.9797143,1.058351196,35496.82555,866.6509336,0.2318160002,0.2318160002,1,-9.142465334e-10,5.235918884e-07,-1.370346417e-06,0.0005228739741,5.877628708e-05,5.877395719e-05,5.233345271e-07,0,0.024387858,0,0.9999021782,0,0.4607669225,0,0.01123821762,4.83667802,4.83667802,4.83667802,4.83667802,0,0,-0.0009189399566,0.175703097,-0.2996077823,57.28558745,0.00144427984,-0.5510842588,-0.2981635025,56.73450319,-0.0001275443287,0.02438672233,-7.189015414e-10,2.743064828e-07,-5.877395719e-05,0.01123769429,0.0014736261,0.001473567686,1.312092774e-05,12.53711624,24350,992.5429404,0.02796145641,9.767798191e-10,0,0.0117975,6.938893904e-18,1e-05,-0.1335834525,0.0007367117504,6.559821956e-06,1,capture,4.999456965,11.34140693,26.4,30.00477555,1.474571306e-08,7998.755777,622.214467,0.001154456234,11.34140687,6299.99998,333.5792306,1200.88523,217.9083154,-0.001368297955,0.2603595144,0.0005228757698,0.01123821762,0.01117944134,0.0002162127673,51.70574094
0.004,189.9594286,1.059131344,35549.1771,867.2897766,0.2321578878,0.2321578878,1,-7.244205324e-09,2.600193393e-06,-5.411681709e-06,0.001552305153,0.0001174413505,0.0001174126134,2.597887996e-06,2.482471081e-06,0.04818089008,0.0001017813143,0.999902173,4.690205101e-05,0.4607669201,1.143952464e-06,0.02220233232,4.840243329,4.840243329,4.840243329,4.840243329,0,0,-0.001820559636,0.3476082043,-0.5935051454,113.3207909,0.005707249624,-1.637086858,-0.5877978957,111.683704,-0.000252312572,0.04817525245,-2.836947344e-09,8.137596073e-07,-0.0001162686609,0.02219973443,0.002946706333,0.002945985294,6.51832841e-05,12.53686349,24350,995.5077333,0.0280036787,3.899729245e-09,0,0.01151945959,0.01123821762,2.000417744e-05,-0.1191284302,0.001473999371,3.261391717e-05,1,capture,4.999995411,11.35018341,26.4,30.00955283,1.320895555e-07,7997.511142,622.4204434,0.002307924183,11.35018318,6299.999922,333.8251241,1201.770447,217.8850476,-0.002697743155,0.5125808553,0.001552314587,0.02220233235,0.022084891,0.0006414200614,34.43124456
0.006,189.9391429,1.05991148,35601.56655,867.9286115,0.2325000231,0.2325000231,1,-2.425554336e-08,7.226944976e-06,-1.204775355e-05,0.003072332829,0.0001760589795,0.000175910966,7.217777127e-06,7.38090254e-06,0.07139360392,0.0002033181609,0.9999021575,9.369144835e-05,0.460766913,3.401208461e-06,0.03289902941,4.843808592,4.843808592,4.843808592,4.843808592,0,0,-0.002705175592,0.5157860475,-0.8817970841,168.1290612,0.01271376253,-3.242173724,-0.8690833216,164.8868875,-0.0003743603847,0.07137794075,-6.311103882e-09,1.609413038e-06,-0.0001725097576,0.03289181163,0.004420838381,0.004417121765,0.0001812382722,12.53660766,24350,998.4780549,0.02804590223,8.764128625e-09,0,0.01125959307,0.02220233232,3.001251669e-05,-0.10515229,0.002211794943,9.075183351e-05,1,capture,5.000531571,11.35896594,26.4,30.01433166,5.252790379e-07,7996.266095,622.6263977,0.003460405469,11.35896541,6299.999824,334.0710137,1202.655649,217.8617797,-0.003989150014,0.7568417356,0.00307235645,0.03289902958,0.0327229706,0.001268570544,25.79515247
0.008,189.9188571,1.060691603,35653.99391,868.5674383,0.2328424058,0.2328424058,1,-5.706302082e-08,1.536941438e-05,-2.120390655e-05,0.005067344791,0.0002347661457,0.0002342641706,1.534410457e-05,1.463041924e-05,0.09404015338,0.0003046110873,0.9999021318,0.0001403684443,0.4607669011,6.741872751e-06,0.04333483116,4.84737381,4.84737381,4.84737381,4.84737381,0,0,-0.003573097263,0.6803058077,-1.16458623,221.733336,0.02239015268,-5.35083586,-1.142196077,216.3825001,-0.0004937421288,0.09400685541,-1.109930025e-08,2.652529202e-06,-0.0002275222979,0.04331948705,0.005899463798,0.005886849612,0.0003855836397,12.53634877,24350,1001.45391,0.02808812703,1.55834396e-08,0,0.01101676493,0.03289902941,4.00250028e-05,-0.09163539366,0.002950032131,0.0001932245984,1,capture,5.001065413,11.36775451,26.4,30.0191118,1.450145384e-06,7995.020637,622.8323305,0.004611901908,11.36775357,6299.999686,334.3168994,1203.540838,217.8385118,-0.005243315646,0.9933160961,0.005067389154,0.04333483168,0.04310006554,0.002090777131,20.61437582
0.01,189.8985714,1.061471713,35706.45916,869.2062566,0.233185036,0.233185036,1,-1.10633651e-07,2.796228626e-05,-3.280704839e-05,0.007522069946,0.0002937958273,0.0002924675371,2.790569649e-05,2.416774212e-05,0.1161343471,0.0004056606571,0.9999020959,0.0001869332987,0.4607668846,1.113678558e-05,0.05351610075,4.850938981,4.850938981,4.850938981,4.850938981,0,0,-0.004424627138,0.8412351588,-1.441972907,274.1560519,0.03466420479,-7.947882722,-1.407308702,266.2081692,-0.0006105109057,0.1160737894,-1.716040693e-08,3.934574658e-06,-0.0002813307515,0.05348819506,0.007388449015,0.007355044854,0.0007017791976,12.5360868,24350,1004.435304,0.02813035311,2.440527068e-08,0,0.01078991067,0.04333483116,5.00416215e-05,-0.07855907358,0.003688646162,0.0003519509789,1,capture,5.001596892,11.37654911,26.4,30.02389292,3.242355123e-06,7993.774766,623.0382427,0.005762415525,11.37654764,6299.99951,334.5627812,1204.426012,217.8152439,-0.006461020253,1.22217419,0.007522141489,0.05351610191,0.05322230609,0.003101313588,17.16121397
0.012,189.8782857,1.06225181,35758.96227,869.8450664,0.2335279134,0.2335279134,1,-1.897897935e-07,4.591003716e-05,-4.678561666e-05,0.01042157109,0.0003534960529,0.0003505165267,4.579982445e-05,3.593114967e-05,0.1376896569,0.0005064674519,0.9999020499,0.0002333862794,0.4607668634,1.655750494e-05,0.06344904618,4.854504104,4.854504104,4.854504104,4.854504104,0,0,-0.005260060923,0.9986403028,-1.714055187,325.4191569,0.04946512444,-11.01843574,-1.664590062,314.4007211,-0.0007247185875,0.1375902675,-2.445421496e-08,5.447215572e-06,-0.0003339590217,0.06340324636,0.008896573827,0.008821586939,0.001152662023,12.53582175,24350,1007.422246,0.02817258058,3.533145477e-08,0,0.01057803231,0.05351610075,6.006235919e-05,-0.06590557898,0.004427573793,0.0005785236215,1,capture,5.00212595,11.38534974,26.4,30.0286746,6.31472339e-06,7992.528484,623.2441355,0.00691194857,11.38534763,6299.999295,334.808659,1205.311172,217.791976,-0.007643027501,1.443582665,0.01042167611,0.06344904835,0.06309555229,0.004293610998,14.69521862
0.014,189.858,1.063031893,35811.50324,870.4838675,0.2338710381,0.2338710381,1,-2.992121811e-07,7.008759625e-05,-6.306954652e-05,0.01375123785,0.0004143441705,0.0004084067488,6.989291196e-05,4.986044045e-05,0.1587192261,0.0006070320716,0.9999019939,0.000279727663,0.4607668376,2.297628928e-05,0.07313972402,4.858069178,4.858069178,4.858069178,4.858069178,0,0,-0.006079687703,1.152586005,-1.980928942,375.5441213,0.06672350902,-14.54792199,-1.914205433,360.9961993,-0.0008364158474,0.1585675527,-3.29414157e-08,7.182313293e-06,-0.0003854304595,0.07306983111,0.01043590183,0.01028635868,0.001760361349,12.5355536,24350,1010.414745,0.0282148096,4.854168505e-08,0,0.01038019428,0.06344904618,7.008720294e-05,-0.05365802451,0.005166753286,0.0008842150744,1,capture,5.002652519,11.3941564,26.4,30.03345636,1.115458767e-05,7991.281789,623.4500102,0.008060503535,11.39415352,6299.999041,335.0545326,1206.196317,217.7687081,-0.008790084899,1.657704646,0.01375138248,0.07313972763,0.07272538346,0.005661254287,12.8461609
0.016,189.8377143,1.063811962,35864.08205,871.1226597,0.2342144099,0.2342144099,1,-4.434428838e-07,0.000101340992,-8.159023899e-05,0.01749677978,0.0004769550866,0.0004661339577,0.0001010212261,6.589689646e-05,0.1792358774,0.000707355137,0.999901928,0.0003259577354,0.4607668072,3.036608065e-05,0.08259404313,4.861634203,4.861634203,4.861634203,4.861634203,0,0,-0.006883790097,1.303135631,-2.242687899,424.55195,0.0863713193,-18.52206798,-2.156316579,406.029882,-0.00094565219,0.179016653,-4.258358097e-08,9.131920042e-06,-0.000435767877,0.0824930219,0.01202200052,0.01174924618,0.002546313159,12.53528234,24350,1013.412817,0.02825704045,6.432019489e-08,0,0.01019551948,0.07313972402,8.011614044e-05,-0.04180034218,0.00590612438,0.001279983695,1,capture,5.00317652,11.40296909,26.4,30.03823764,1.83212405e-05,7990.034684,623.6558683,0.009208083165,11.40296532,6299.998747,335.3004021,1207.081448,217.7454403,-0.009902924151,1.864699814,0.01749697002,0.08259404871,0.08211709362,0.007197978821,11.40835444
0.018,189.8174286,1.064592017,35916.69869,871.7614429,0.2345580288,0.2345580288,1,-6.268882091e-07,0.0001404879856,-0.0001022805301,0.02164421963,0.0005420821827,0.0005236940495,0.0001399915542,8.398324752e-05,0.1992521207,0.00080743729,0.9999018522,0.0003720767925,0.4607667723,3.870048826e-05,0.09181776823,4.865199178,4.865199178,4.865199178,4.865199178,0,0,-0.007672644412,1.450351174,-2.499423687,472.4631931,0.1083418516,-22.92689362,-2.391081836,449.5362995,-0.00105247598,0.1989483275,-5.334314371e-08,1.128827468e-05,-0.0004849935613,0.09167777667,0.0136739777,0.01321013879,0.003531274477,12.53500796,24350,1016.41648,0.02829927353,8.308500457e-08,0,0.01002318565,0.08259404313,9.014916003e-05,-0.03031723608,0.006645628265,0.001776479442,1,capture,5.003697863,11.41178781,26.4,30.04301781,2.844341997e-05,7988.787166,623.8617118,0.01035469048,11.411783,6299.998415,335.5462674,1207.966563,217.7221724,-0.01098226152,2.064724482,0.0216444613,0.09181777638,0.0912756942,0.008897667086,10.25838496
